"aou","model","param","mean","cilo","cihi"
2890,"fixedEffects","b1[1]",-0.000377106782546719,-0.0620923320277322,0.0617799746638987
2890,"fixedEffects","b1[2]",0.039178385924966,-0.0225426628979664,0.0994249649082848
2890,"fixedEffects","b1[3]",0.170161218932759,0.111111787221663,0.231347121212095
2890,"fixedEffects","b1[4]",2.35806983001373,2.32066163276875,2.39524574631881
2890,"fixedEffects","b1[5]",1.163851908997,1.11416570283207,1.21528469798952
2890,"fixedEffects","b1[6]",2.97248301888703,2.94672504117843,2.99742370453212
2890,"fixedEffects","b1[7]",2.12304553651413,2.08552188876431,2.16110183145461
2890,"fixedEffects","b1[8]",1.08222138649194,1.03104488356556,1.13302871717765
2890,"fixedEffects","b1[9]",2.04204762236517,2.0073740869476,2.07732675083467
2890,"fixedEffects","b1[10]",2.41870362645423,2.38834576207735,2.44922171350054
2890,"fixedEffects","b1[11]",2.87062827412547,2.84409445678574,2.89798250702427
2890,"fixedEffects","b1[12]",1.18645876415512,1.13488601245192,1.23753816944601
2890,"fixedEffects","b1[13]",2.17465077735246,2.13610035561328,2.21466165236444
2890,"fixedEffects","b1[14]",-0.000728304531977769,-0.0626756549052799,0.0605790706531779
2890,"fixedEffects","b1[15]",0.00166253497421807,-0.0576593745287525,0.0635135798336264
2890,"fixedEffects","b1[16]",2.58090034553746,2.55780620204634,2.60442129634605
2890,"fixedEffects","b1[17]",0.118317950806094,0.0585691400171528,0.178991200250098
2890,"fixedEffects","b1[18]",2.21832395605211,2.18023289859665,2.25712349210799
2890,"fixedEffects","b1[19]",1.44841428136824,1.40350009578138,1.49220966928904
2890,"fixedEffects","b1[20]",0.793233056996657,0.7379248141109,0.84512856047164
2890,"fixedEffects","b1[21]",1.97569506639617,1.93656232650022,2.0147398385665
2890,"fixedEffects","b1[22]",0.104443177321462,0.0451845206232164,0.163369742746732
2890,"fixedEffects","b1[23]",1.48030560653635,1.44319313903356,1.51835665649619
2890,"fixedEffects","b1[24]",0.000102946294480641,-0.061720970524473,0.0634475885688654
2890,"fixedEffects","b1[25]",0.000596640145962943,-0.0612822684981464,0.061229415734678
2890,"fixedEffects","b1[26]",2.05756369351744,2.02663585315127,2.08810382587427
2890,"fixedEffects","b1[27]",2.60502279181265,2.57514152432708,2.63562710550319
2890,"fixedEffects","b1[28]",2.58532717826739,2.55992629340851,2.61164291747551
2890,"fixedEffects","b1[29]",0.369320476577962,0.309774311152087,0.429662184230284
2890,"fixedEffects","b1[30]",1.31903231497454,1.26804646398574,1.37037904585005
2890,"fixedEffects","b1[31]",0.319854759317025,0.261922882190065,0.377013478263742
2890,"fixedEffects","b1[32]",1.68419169465239,1.63992813191348,1.72737971558865
2890,"fixedEffects","b1[33]",1.08194754427914,1.03279090202958,1.13033012611998
2890,"fixedEffects","b1[34]",0.21777618704517,0.157417360003075,0.277914020132271
2890,"fixedEffects","b1[35]",1.03495027965443,0.98396052799121,1.0859951856124
2890,"fixedEffects","b1[36]",-6.4025296154706e-05,-0.0631553070679638,0.0622354322660035
2890,"fixedEffects","b1[37]",0.779286220643005,0.723395152232396,0.834329960201167
2890,"fixedEffects","b1[38]",1.3715044746799,1.32681317929584,1.41859991768213
2890,"fixedEffects","b1[39]",3.05731094402341,3.0340333259011,3.08176191497088
2890,"fixedEffects","b1[40]",-0.000977858099537476,-0.0625544011296029,0.0611076376287205
2890,"fixedEffects","b1[41]",1.06318599085205,1.01493604159218,1.11354647861579
2890,"fixedEffects","b1[42]",-0.00082996903534518,-0.0630587698006528,0.0611779311862779
2890,"fixedEffects","b1[43]",1.392174911297,1.34985355380683,1.436029384015
2890,"fixedEffects","b1[44]",0.00093068726703651,-0.0583512884240361,0.0602840497934732
2890,"fixedEffects","b1[45]",0.000787688457113399,-0.061570744361603,0.0652304297254369
2890,"fixedEffects","b1[46]",-0.000840906209149559,-0.062074245914121,0.0605851966728193
2890,"fixedEffects","b1[47]",0.000218110246573331,-0.0617463501097836,0.0626603965509537
2890,"fixedEffects","b1[48]",0.925370886643461,0.873221709649151,0.977708850239539
2890,"fixedEffects","b1[49]",2.67881395442457,2.64908498322113,2.71009383295589
2890,"fixedEffects","b1[50]",2.7281290947299,2.69958686385621,2.7576425722176
2890,"fixedEffects","b1[51]",2.40029573121268,2.36851130034596,2.43293264998002
2890,"fixedEffects","b1[52]",0.867541935941601,0.815382345513799,0.92022490011529
2890,"fixedEffects","b1[53]",0.220322362428353,0.159381863912284,0.278358723882854
2890,"fixedEffects","b1[54]",0.0990909987172745,0.0396267792500757,0.158541674325791
2890,"fixedEffects","b1[55]",1.09662969458163,1.05268215824075,1.14191658846809
2890,"fixedEffects","b1[56]",1.17056152741223,1.12118439720381,1.22066741050779
2890,"fixedEffects","b1[57]",-0.00115946735370735,-0.0621039547851747,0.0599211573006248
2890,"fixedEffects","b1[58]",-0.000656863362685806,-0.0614728181784815,0.0621626016101515
2890,"fixedEffects","b1[59]",-0.00143234468760954,-0.0663432299199158,0.0613435964456772
2890,"fixedEffects","b1[60]",-0.00114302233291142,-0.063032230524566,0.0601666842709773
2890,"fixedEffects","b1[61]",1.57488765283291,1.53187698372345,1.61782545351786
2890,"fixedEffects","b1[62]",0.163430061464056,0.101847946088632,0.222718520189381
2890,"fixedEffects","b1[63]",0.00685686558451143,-0.0547615251404136,0.0684080766587963
2890,"fixedEffects","b1[64]",-0.0052283060494906,-0.0690260329820464,0.054711560418883
